trader_id,age_group,experience_level,starting_capital,ending_balance,monthly_return_pct,max_drawdown_pct,position_size_pct,win_ratio,risk_reward_ratio,trades_per_week,avg_holding_period_days,overnight_positions_pct,platform_usage_hours,preferred_trading_type,preferred_instruments,trade_decision_factor,stop_loss_usage_pct,is_profitable,risk_score
TR00034,56+,Beginner,67458,56301,-18.33,28.3,34.24,0.23,1.0,24,0.77,57.47,7.74,Intraday,F&O,Tips/Recommendations,20.92,0,5
TR00035,26-35,Intermediate,332502,353028,6.0,11.1,20.89,0.49,1.89,18,8.81,29.36,2.24,Swing,F&O,Mixed,52.65,1,3
TR00036,36-45,Intermediate,53267,53201,-0.13,4.58,7.13,0.47,0.96,7,7.43,34.48,4.74,Intraday,Mixed,Tips/Recommendations,30.25,0,3
TR00037,46-55,Beginner,92745,80702,-13.72,45.98,44.03,0.32,0.92,21,0.61,55.33,3.12,Intraday,F&O,Technical Analysis,11.86,0,6
TR00038,36-45,Intermediate,401732,409426,1.86,9.82,19.92,0.49,1.52,11,5.89,31.62,2.69,Swing,F&O,Technical Analysis,51.41,1,3
TR00039,46-55,Intermediate,350657,353405,0.71,6.53,13.17,0.54,1.22,8,2.43,47.2,3.81,Intraday,Currency,Tips/Recommendations,52.64,1,2
TR00040,36-45,Beginner,36092,32636,-9.07,34.23,47.32,0.36,0.82,12,11.82,30.8,5.27,Intraday,Equity,Fundamental Analysis,32.54,0,5
TR00041,36-45,Intermediate,61338,59403,-3.34,17.13,24.82,0.36,0.85,9,2.38,43.47,4.74,Mixed,Equity,Mixed,35.28,0,3
TR00042,18-25,Advanced,331484,334520,0.98,1.03,4.67,0.62,2.62,4,8.44,13.73,3.73,Mixed,Mixed,Technical Analysis,77.96,1,1
TR00043,26-35,Beginner,17543,15482,-10.95,20.58,25.17,0.25,0.88,16,0.58,69.88,6.2,Swing,Equity,Mixed,15.83,0,4
TR00044,26-35,Beginner,43496,35861,-17.75,33.71,47.06,0.28,0.54,18,0.82,60.8,7.77,Intraday,Mixed,Technical Analysis,12.8,0,6
TR00045,18-25,Beginner,70692,64866,-8.89,24.42,38.86,0.29,0.98,16,29.35,72.16,7.41,Intraday,F&O,Tips/Recommendations,22.31,0,5
TR00046,26-35,Intermediate,270156,270396,0.08,3.57,5.96,0.45,1.36,6,2.67,22.93,4.34,Swing,Currency,Technical Analysis,36.53,1,2
TR00047,18-25,Advanced,1472568,1484121,0.74,3.66,12.16,0.54,1.55,5,8.55,26.77,3.5,Mixed,Equity,Tips/Recommendations,67.76,1,2
TR00048,26-35,Beginner,54425,51145,-5.49,33.14,43.12,0.39,1.18,23,0.1,55.05,6.21,Intraday,Commodities,Mixed,19.53,0,5
TR00049,36-45,Intermediate,88756,90464,1.78,10.21,20.01,0.49,1.94,6,6.47,41.19,2.31,Swing,Equity,Technical Analysis,40.38,1,3
TR00050,26-35,Beginner,28888,26161,-8.82,40.17,41.98,0.33,0.86,18,0.32,56.71,6.7,Swing,F&O,Tips/Recommendations,12.63,0,6
TR00051,26-35,Intermediate,216807,207945,-4.49,16.32,21.5,0.36,0.91,14,3.03,36.22,2.38,Intraday,Equity,Tips/Recommendations,33.6,0,3
TR00052,26-35,Intermediate,359439,363306,1.17,6.39,8.73,0.53,1.71,9,2.45,32.89,4.38,Positional,Equity,Technical Analysis,37.73,1,2
TR00053,26-35,Beginner,93042,90696,-2.49,17.14,19.43,0.38,0.84,11,16.52,45.44,6.51,Intraday,Currency,Tips/Recommendations,11.52,0,4
TR00054,56+,Intermediate,135999,136530,0.39,8.58,17.68,0.51,1.16,8,6.31,34.47,2.27,Swing,Equity,Tips/Recommendations,55.06,1,2
TR00055,36-45,Intermediate,67955,66163,-2.66,15.48,23.16,0.35,1.39,16,4.9,23.55,2.92,Swing,Equity,Tips/Recommendations,41.49,0,3
TR00056,36-45,Intermediate,349985,346732,-0.95,6.44,11.32,0.36,1.43,19,9.86,48.85,5.66,Intraday,Mixed,Technical Analysis,41.19,0,2
TR00057,26-35,Beginner,80640,70150,-13.19,24.79,33.53,0.25,0.89,16,0.23,65.72,6.08,Intraday,Equity,Technical Analysis,19.96,0,4
TR00058,36-45,Advanced,396582,407484,2.71,2.15,10.88,0.48,2.16,13,11.17,38.57,1.74,Positional,Equity,Technical Analysis,83.2,1,1
TR00059,26-35,Intermediate,478127,481016,0.67,4.97,14.04,0.43,1.53,17,4.56,26.8,4.76,Mixed,Equity,Technical Analysis,64.83,1,2
TR00060,26-35,Beginner,69031,65976,-4.65,25.89,38.55,0.38,1.14,17,0.98,73.97,5.98,Mixed,F&O,Fundamental Analysis,32.77,0,4
TR00061,56+,Beginner,98726,82257,-16.62,27.32,45.99,0.29,0.75,24,0.69,70.44,5.51,Mixed,F&O,Fundamental Analysis,31.83,0,5
TR00062,36-45,Beginner,17357,15617,-9.6,22.25,34.96,0.2,1.01,12,0.96,63.86,7.88,Intraday,F&O,Fundamental Analysis,24.53,0,4
TR00063,36-45,Beginner,42479,37808,-11.76,24.85,31.59,0.26,1.13,23,0.75,61.25,6.42,Swing,Equity,News Events,30.81,0,4
TR00064,36-45,Beginner,71476,55494,-22.15,21.15,27.55,0.21,0.82,26,12.06,45.83,4.88,Swing,Mixed,News Events,26.58,0,4
TR00065,46-55,Intermediate,356955,354533,-0.65,9.45,16.55,0.36,1.33,8,6.14,44.49,5.2,Intraday,Mixed,News Events,38.65,0,3
TR00066,46-55,Intermediate,217280,217433,0.07,6.54,12.11,0.41,1.52,6,1.17,35.05,5.54,Intraday,Equity,Mixed,38.34,1,3
TR00067,26-35,Beginner,30150,28177,-7.23,21.27,25.66,0.26,0.91,17,0.53,33.54,3.63,Mixed,F&O,Mixed,18.89,0,4
TR00068,18-25,Advanced,1844044,1880407,1.99,0.75,8.91,0.61,2.71,5,7.15,19.39,1.6,Intraday,Mixed,Fundamental Analysis,91.88,1,1
TR00069,26-35,Intermediate,224358,225266,0.42,2.69,6.33,0.54,1.37,6,7.98,48.06,2.86,Positional,F&O,Technical Analysis,51.9,1,2
TR00070,26-35,Intermediate,162856,166967,2.32,4.44,9.58,0.42,2.0,18,9.47,45.52,4.76,Intraday,F&O,Mixed,59.36,1,2
TR00071,26-35,Intermediate,380594,377111,-0.99,7.42,15.86,0.44,0.87,10,1.65,49.46,4.41,Mixed,Currency,Tips/Recommendations,43.86,0,3
TR00072,56+,Beginner,31352,29100,-6.97,19.98,27.26,0.37,0.5,19,27.65,61.4,6.09,Intraday,Equity,Tips/Recommendations,22.23,0,4
TR00073,46-55,Intermediate,236141,236403,0.12,8.12,11.66,0.4,1.57,8,1.74,27.43,5.76,Intraday,Equity,News Events,35.02,1,3
TR00074,26-35,Advanced,1098320,1109489,1.03,3.56,11.5,0.48,1.95,7,12.89,14.88,3.33,Positional,Equity,Mixed,66.0,1,2
TR00075,36-45,Beginner,24397,21415,-12.09,27.83,37.75,0.37,0.67,27,0.42,39.35,3.64,Swing,Currency,Technical Analysis,34.82,0,4
TR00076,26-35,Intermediate,484771,479810,-1.07,4.26,8.33,0.36,1.17,14,9.8,20.59,3.39,Swing,F&O,Technical Analysis,53.39,0,2
TR00077,56+,Beginner,56959,49769,-12.74,40.23,45.15,0.32,0.68,21,0.28,49.53,5.18,Positional,Equity,Tips/Recommendations,20.13,0,5
TR00078,26-35,Beginner,10728,10233,-4.95,16.66,29.82,0.31,0.52,11,10.82,39.57,4.98,Swing,Currency,Technical Analysis,34.09,0,4
TR00079,26-35,Beginner,60517,52345,-14.05,28.05,39.66,0.27,1.18,19,0.7,50.58,6.35,Swing,Mixed,Tips/Recommendations,17.4,0,5
TR00080,26-35,Intermediate,169180,166409,-1.6,4.66,16.46,0.41,1.06,18,2.12,48.05,5.57,Mixed,Equity,News Events,69.04,0,2
TR00081,36-45,Beginner,76234,72016,-5.76,40.04,49.91,0.35,1.01,13,0.91,51.53,4.53,Swing,Mixed,Tips/Recommendations,20.34,0,6
TR00082,26-35,Intermediate,89954,89921,-0.03,12.45,20.05,0.37,1.72,18,6.55,46.34,4.21,Swing,F&O,Tips/Recommendations,43.49,0,3
TR00083,36-45,Intermediate,228352,234206,2.5,12.49,19.14,0.4,1.92,19,6.52,38.17,5.16,Intraday,Commodities,Mixed,42.48,1,3
TR00084,46-55,Beginner,89459,74584,-16.83,38.42,41.14,0.35,0.52,25,28.7,42.36,5.08,Intraday,Mixed,Technical Analysis,13.66,0,5
TR00085,26-35,Intermediate,459995,467665,1.84,6.04,7.86,0.46,1.85,19,9.53,30.68,2.67,Swing,Equity,Tips/Recommendations,34.45,1,2
TR00086,26-35,Beginner,73932,69846,-5.53,14.05,18.18,0.23,0.87,17,0.66,34.2,5.37,Swing,Commodities,Technical Analysis,29.44,0,3
TR00087,56+,Beginner,82936,74172,-10.04,22.68,38.56,0.38,0.94,23,0.65,46.67,3.28,Mixed,Currency,Technical Analysis,36.25,0,4
TR00088,36-45,Intermediate,467682,470361,0.6,5.17,14.88,0.43,1.57,11,6.95,40.33,5.77,Positional,Equity,Technical Analysis,61.62,1,2
TR00089,18-25,Beginner,46939,43396,-7.11,37.17,40.19,0.37,1.07,17,21.95,33.61,3.37,Intraday,Currency,Tips/Recommendations,14.23,0,5
TR00090,18-25,Beginner,79896,75066,-6.36,9.12,14.12,0.36,0.73,25,19.62,40.27,5.19,Intraday,Mixed,News Events,26.37,0,3
TR00091,18-25,Intermediate,478486,494332,3.11,8.66,15.73,0.47,1.68,17,1.37,31.44,4.12,Positional,Equity,Tips/Recommendations,34.22,1,3
TR00092,36-45,Beginner,69163,62495,-10.51,22.58,25.15,0.3,0.87,27,18.77,79.1,7.93,Mixed,Equity,Technical Analysis,11.36,0,4
TR00093,46-55,Beginner,92637,88346,-4.32,22.44,28.28,0.4,1.06,24,0.75,69.24,3.83,Swing,Equity,Fundamental Analysis,29.69,0,4
TR00094,26-35,Intermediate,101934,102679,0.73,6.98,17.08,0.38,1.99,9,6.85,42.0,2.46,Positional,F&O,Fundamental Analysis,51.41,1,2
TR00095,18-25,Beginner,74895,68300,-9.18,29.42,30.09,0.35,0.64,22,22.31,35.81,3.04,Positional,Mixed,Tips/Recommendations,12.46,0,5
TR00096,26-35,Intermediate,475523,480407,1.08,12.19,15.8,0.39,1.99,13,3.96,43.43,2.62,Intraday,F&O,Tips/Recommendations,31.4,1,3
TR00097,56+,Intermediate,366242,357608,-2.39,4.45,14.73,0.42,0.91,17,5.23,43.56,2.83,Intraday,F&O,Technical Analysis,69.59,0,2
TR00098,36-45,Beginner,70921,59770,-14.3,19.33,26.36,0.26,0.5,24,0.77,60.06,6.15,Mixed,F&O,Mixed,10.9,0,4
TR00099,56+,Beginner,15486,13444,-13.97,27.26,40.88,0.39,0.53,22,0.49,79.52,4.1,Positional,F&O,Fundamental Analysis,23.34,0,5
TR00100,46-55,Advanced,1387983,1390171,0.17,0.52,2.16,0.64,2.01,2,4.94,19.76,1.06,Mixed,Mixed,Technical Analysis,77.66,1,1
TR00101,18-25,Beginner,96900,84714,-12.37,31.84,33.94,0.24,0.94,16,23.07,77.06,7.13,Intraday,Equity,Mixed,13.52,0,5
TR00102,36-45,Intermediate,176020,172351,-2.09,11.96,16.31,0.35,0.88,13,3.99,47.44,3.46,Swing,F&O,Technical Analysis,36.76,0,3
TR00103,36-45,Beginner,99112,90203,-8.95,31.72,38.65,0.34,0.5,10,19.87,30.57,4.77,Swing,Equity,Tips/Recommendations,20.55,0,5
TR00104,36-45,Intermediate,192202,196868,2.35,5.7,16.98,0.43,1.92,16,1.73,33.5,3.21,Intraday,Commodities,Tips/Recommendations,60.47,1,2
TR00105,26-35,Intermediate,399652,400756,0.29,9.09,21.54,0.37,1.79,12,4.63,49.31,5.9,Positional,F&O,Technical Analysis,50.28,1,3
TR00106,36-45,Intermediate,287027,301659,4.71,11.71,24.18,0.49,1.77,12,2.99,23.09,2.68,Positional,Currency,Technical Analysis,55.52,1,3
TR00107,18-25,Beginner,70566,65420,-7.39,12.51,23.7,0.31,1.12,20,0.48,57.39,7.49,Swing,F&O,Tips/Recommendations,39.56,0,3
TR00108,26-35,Intermediate,247775,250612,1.24,3.49,9.55,0.55,1.64,7,8.56,49.37,5.11,Intraday,Currency,News Events,60.72,1,2
TR00109,26-35,Beginner,37192,32438,-12.19,20.63,26.94,0.25,0.57,26,0.26,57.77,3.38,Intraday,Equity,Technical Analysis,23.03,0,4
TR00110,56+,Beginner,11062,10299,-6.71,13.35,21.52,0.28,0.78,17,26.92,39.49,7.93,Intraday,F&O,Technical Analysis,23.39,0,4
TR00111,46-55,Intermediate,134076,135560,1.15,7.04,17.3,0.46,1.67,7,6.66,37.47,3.09,Swing,Equity,Tips/Recommendations,54.75,1,2
TR00112,26-35,Beginner,99780,91443,-8.16,31.35,46.47,0.36,0.7,12,25.35,40.22,3.49,Mixed,F&O,Fundamental Analysis,29.96,0,5
TR00113,36-45,Intermediate,202617,203367,0.39,3.55,7.78,0.46,1.62,5,5.54,35.59,5.32,Intraday,Equity,Technical Analysis,50.03,1,2
TR00114,26-35,Beginner,31689,30576,-3.55,8.47,14.03,0.32,0.52,14,20.28,33.7,6.53,Swing,F&O,Technical Analysis,29.35,0,3
TR00115,56+,Beginner,21174,19388,-7.81,19.72,20.24,0.25,0.71,19,0.63,60.27,6.09,Intraday,F&O,Tips/Recommendations,10.71,0,4
TR00116,46-55,Beginner,98461,92504,-6.53,33.88,39.04,0.37,0.88,16,22.12,55.84,3.78,Mixed,F&O,Technical Analysis,22.89,0,5
TR00117,26-35,Intermediate,438318,442496,0.98,8.96,16.86,0.44,1.56,14,6.38,42.2,3.91,Positional,F&O,Technical Analysis,41.16,1,3
TR00118,36-45,Beginner,19348,18126,-5.93,13.47,14.09,0.23,0.9,18,23.1,61.54,6.9,Swing,F&O,Technical Analysis,13.88,0,4
TR00119,36-45,Intermediate,466930,490415,4.6,14.73,23.38,0.48,1.64,16,9.93,36.49,3.21,Intraday,F&O,Tips/Recommendations,33.98,1,3
TR00120,26-35,Beginner,48102,39270,-18.53,29.99,41.6,0.24,0.5,16,0.36,64.49,4.56,Intraday,Equity,Mixed,28.1,0,5
TR00121,46-55,Beginner,84460,79298,-6.1,9.27,10.92,0.22,0.57,18,0.45,37.2,3.02,Intraday,Mixed,Tips/Recommendations,25.71,0,3
TR00122,36-45,Beginner,99930,93353,-6.49,32.68,36.05,0.37,1.11,17,14.72,59.77,3.87,Intraday,F&O,News Events,17.61,0,5
TR00123,46-55,Beginner,16801,13652,-17.25,34.78,40.85,0.29,0.98,21,0.8,38.61,7.38,Swing,Mixed,News Events,24.13,0,5
TR00124,36-45,Beginner,82267,79182,-3.5,16.06,24.98,0.35,0.58,11,0.64,76.28,5.21,Positional,Equity,Technical Analysis,24.77,0,4
TR00125,18-25,Beginner,58136,56679,-2.68,8.89,12.76,0.26,1.09,10,0.44,33.42,7.92,Intraday,F&O,Fundamental Analysis,15.85,0,3
TR00126,26-35,Intermediate,204697,204989,0.14,3.33,6.55,0.51,1.09,11,4.72,32.91,3.58,Mixed,F&O,Fundamental Analysis,56.08,1,2
TR00127,18-25,Beginner,92873,89496,-3.66,9.01,14.17,0.22,0.83,14,18.74,64.79,6.58,Positional,Equity,Tips/Recommendations,33.43,0,3
TR00128,56+,Beginner,82592,71386,-12.83,26.45,43.62,0.27,0.6,12,18.1,52.9,4.41,Mixed,F&O,Tips/Recommendations,33.74,0,5
TR00129,46-55,Beginner,87052,80565,-7.3,36.39,46.43,0.4,1.0,21,21.59,34.6,4.82,Mixed,F&O,Technical Analysis,28.07,0,5
TR00130,46-55,Intermediate,487477,491742,0.85,4.19,7.46,0.51,1.6,12,6.96,36.6,2.76,Intraday,F&O,Tips/Recommendations,50.47,1,2
TR00131,26-35,Advanced,725830,730683,0.61,2.2,5.07,0.55,1.82,7,4.14,29.25,2.04,Intraday,Equity,Fundamental Analysis,62.14,1,1
TR00132,18-25,Beginner,31677,30971,-2.44,12.53,16.62,0.27,1.1,12,16.24,65.19,5.74,Intraday,F&O,Tips/Recommendations,18.63,0,3
TR00133,46-55,Beginner,56732,55184,-2.89,17.36,17.45,0.37,0.78,10,27.16,48.66,7.96,Intraday,Equity,Mixed,12.8,0,4
TR00134,56+,Beginner,60343,56159,-7.06,21.69,43.5,0.31,0.7,12,21.77,58.18,6.32,Intraday,F&O,Fundamental Analysis,38.91,0,4
TR00135,18-25,Beginner,49081,46852,-4.68,16.41,23.29,0.35,0.61,14,0.64,52.53,4.0,Intraday,F&O,Fundamental Analysis,14.05,0,4
TR00136,26-35,Beginner,72856,67346,-8.36,20.14,22.46,0.35,0.69,24,0.31,63.6,3.22,Intraday,Equity,Technical Analysis,14.55,0,4
TR00137,18-25,Beginner,98858,88778,-11.1,9.98,19.1,0.2,0.52,23,0.9,59.18,3.63,Intraday,F&O,Technical Analysis,36.69,0,3
TR00138,46-55,Beginner,29065,25538,-11.71,19.68,34.32,0.23,0.91,12,18.98,56.29,5.81,Positional,Mixed,Technical Analysis,38.32,0,4
TR00139,46-55,Beginner,93460,91213,-2.23,18.04,25.17,0.33,1.09,10,12.92,42.48,6.83,Intraday,Mixed,Tips/Recommendations,32.97,0,4
TR00140,18-25,Beginner,98092,85684,-12.61,33.4,39.77,0.23,0.88,14,0.5,30.1,7.7,Intraday,Currency,Tips/Recommendations,10.16,0,5
TR00141,26-35,Advanced,1767908,1784860,0.95,1.63,4.67,0.5,1.83,11,14.38,15.22,1.05,Intraday,F&O,News Events,60.05,1,1
TR00142,36-45,Intermediate,366837,366539,-0.09,10.39,20.76,0.54,0.84,11,3.27,23.51,4.09,Mixed,F&O,Tips/Recommendations,45.12,0,3
TR00143,26-35,Intermediate,339106,336654,-0.69,10.79,17.07,0.46,1.06,19,4.23,33.47,3.88,Swing,Mixed,News Events,35.74,0,3
TR00144,46-55,Beginner,38295,35919,-5.91,12.9,14.57,0.35,0.79,23,22.11,60.61,6.28,Positional,F&O,Fundamental Analysis,10.55,0,4
TR00145,26-35,Intermediate,63807,64524,1.1,7.61,13.29,0.46,1.71,11,4.21,26.39,4.24,Positional,Equity,Technical Analysis,48.56,1,2
TR00146,26-35,Beginner,52348,45075,-14.74,30.24,44.54,0.31,0.63,18,25.64,76.95,6.44,Swing,Mixed,Technical Analysis,38.29,0,5
TR00147,36-45,Intermediate,207504,206953,-0.29,13.15,23.46,0.37,1.66,19,7.35,20.2,4.63,Swing,F&O,Tips/Recommendations,42.95,0,3
TR00148,36-45,Intermediate,288067,294739,2.54,7.1,14.31,0.42,1.84,19,5.02,43.17,2.47,Mixed,F&O,Fundamental Analysis,56.45,1,2
TR00149,26-35,Beginner,67854,61372,-9.38,17.41,29.23,0.26,0.82,19,21.16,61.26,7.0,Intraday,Mixed,Mixed,29.57,0,4
TR00150,26-35,Beginner,50262,42897,-13.76,34.77,46.74,0.28,1.08,22,10.68,48.68,3.62,Intraday,F&O,Technical Analysis,17.53,0,5
TR00151,56+,Beginner,47080,41634,-10.79,26.7,33.48,0.36,0.89,28,12.46,32.52,6.49,Intraday,Currency,Fundamental Analysis,29.51,0,4
TR00152,36-45,Beginner,11324,11046,-2.47,9.0,11.31,0.27,0.95,16,0.31,61.37,5.08,Mixed,Mixed,Fundamental Analysis,16.37,0,3
TR00153,26-35,Advanced,717923,723219,0.7,5.91,13.87,0.54,2.29,2,10.68,21.57,2.54,Swing,Currency,Technical Analysis,64.27,1,2
TR00154,36-45,Beginner,45909,38660,-14.49,13.56,19.93,0.28,0.82,29,13.6,76.81,7.52,Intraday,Commodities,Fundamental Analysis,31.04,0,3
TR00155,18-25,Intermediate,270411,263942,-2.5,12.1,16.55,0.37,1.08,17,1.8,36.26,5.56,Positional,Commodities,Fundamental Analysis,34.54,0,3
TR00156,26-35,Beginner,29870,28488,-4.72,9.6,16.62,0.29,0.71,13,21.69,76.98,7.09,Intraday,Currency,Technical Analysis,39.91,0,3
TR00157,26-35,Beginner,44578,42505,-4.28,9.31,11.36,0.24,0.7,14,17.95,41.02,5.55,Intraday,F&O,Tips/Recommendations,15.5,0,3
TR00158,36-45,Intermediate,253196,252740,-0.19,4.95,11.23,0.39,1.48,11,5.32,41.77,4.94,Intraday,F&O,Tips/Recommendations,53.77,0,2
TR00159,26-35,Beginner,36790,31377,-13.59,34.82,41.22,0.22,0.58,16,10.35,60.86,5.56,Swing,Currency,Mixed,22.34,0,5
TR00160,26-35,Beginner,35289,32810,-6.41,18.54,21.1,0.27,1.14,22,29.46,66.97,7.35,Swing,F&O,News Events,13.79,0,4
TR00161,18-25,Intermediate,498345,509325,2.13,7.63,9.4,0.5,1.66,19,6.22,26.44,3.61,Intraday,F&O,Tips/Recommendations,31.11,1,3
TR00162,36-45,Beginner,25485,23118,-8.73,11.88,18.51,0.26,0.78,20,0.33,63.25,7.85,Positional,F&O,Technical Analysis,28.68,0,3
TR00163,26-35,Advanced,1334764,1360599,1.84,0.86,8.7,0.51,1.74,14,7.11,24.94,3.8,Swing,Mixed,Technical Analysis,88.24,1,1
TR00164,56+,Beginner,14748,13910,-5.46,30.38,49.02,0.33,1.12,13,12.51,67.14,6.71,Swing,Equity,Technical Analysis,35.26,0,5
TR00165,46-55,Intermediate,267841,269986,0.83,7.52,14.18,0.39,1.79,17,2.19,29.81,3.12,Swing,Commodities,Fundamental Analysis,49.31,1,2
TR00166,18-25,Intermediate,190507,196865,3.66,7.19,16.15,0.53,1.67,11,2.29,46.7,2.53,Swing,Mixed,Technical Analysis,61.1,1,2
TR00167,26-35,Intermediate,315853,314169,-0.55,8.98,22.21,0.45,1.13,15,9.46,22.53,5.42,Positional,Equity,Fundamental Analysis,56.91,0,2
TR00168,36-45,Beginner,40355,31868,-20.35,22.76,31.4,0.29,0.78,28,0.76,70.36,3.83,Intraday,F&O,News Events,31.73,0,4
TR00169,26-35,Beginner,65771,62991,-4.59,12.29,17.38,0.31,0.57,11,0.27,73.07,7.27,Intraday,Equity,News Events,24.78,0,3
TR00170,18-25,Beginner,67799,62138,-9.25,16.34,21.98,0.23,0.63,19,0.24,70.86,5.45,Intraday,Mixed,Fundamental Analysis,29.0,0,3
